title,company_name,location,category,job_type,salary,experience,salary_min,salary_max,url,description,tags,published_at
Marketing Specialist,GlobalNext Solutions,Dong Nai,Marketing,Part-time,28-36 trieu VND,5+ nam,28000000,36000000,https://jobs.local/topcv/marketing-specialist-1,Tuyen dung Marketing Specialist tai GlobalNext Solutions o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"marketing,campaign,digital",2026-04-12T09:28:05+07:00
Civil Engineer,Sunrise Vietnam,Da Nang,Construction,Part-time,37-42 trieu VND,5+ nam,37000000,42000000,https://jobs.local/topcv/civil-engineer-2,Tuyen dung Civil Engineer tai Sunrise Vietnam o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"civil,autocad,project",2026-03-28T20:28:05+07:00
Accountant,VietFuture Vietnam,Can Tho,Finance,Hybrid,11-13 trieu VND,1-3 nam,11000000,13000000,https://jobs.local/topcv/accountant-3,Tuyen dung Accountant tai VietFuture Vietnam o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"accounting,excel,tax",2026-03-19T22:28:05+07:00
Operations Staff,Sunrise Group,Bac Ninh,Operations,Hybrid,8-11 trieu VND,0-1 nam,8000000,11000000,https://jobs.local/topcv/operations-staff-4,Tuyen dung Operations Staff tai Sunrise Group o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"operations,process,kpi",2026-04-28T05:28:05+07:00
Real Estate Consultant,Sunrise Solutions,Can Tho,Real Estate,Remote,7-11 trieu VND,0-1 nam,7000000,11000000,https://jobs.local/topcv/real-estate-consultant-5,Tuyen dung Real Estate Consultant tai Sunrise Solutions o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"real-estate,sales,consulting",2026-04-28T22:28:05+07:00
Construction Supervisor,GreenTech Group,Bac Ninh,Construction,Shift,36-38 trieu VND,5+ nam,36000000,38000000,https://jobs.local/topcv/construction-supervisor-6,Tuyen dung Construction Supervisor tai GreenTech Group o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"construction,site,safety",2026-04-07T15:28:05+07:00
Logistics Coordinator,MinhLong Solutions,Ho Chi Minh City,Supply Chain,Full-time,15-18 trieu VND,1-3 nam,15000000,18000000,https://jobs.local/topcv/logistics-coordinator-7,Tuyen dung Logistics Coordinator tai MinhLong Solutions o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"logistics,warehouse,supply-chain",2026-03-30T12:28:05+07:00
Procurement Specialist,Sunrise JSC,Can Tho,Supply Chain,Remote,33-36 trieu VND,5+ nam,33000000,36000000,https://jobs.local/topcv/procurement-specialist-8,Tuyen dung Procurement Specialist tai Sunrise JSC o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"procurement,sourcing,vendor",2026-04-15T07:28:05+07:00
Civil Engineer,BlueOcean Vietnam,Hanoi,Construction,Hybrid,15-17 trieu VND,1-3 nam,15000000,17000000,https://jobs.local/topcv/civil-engineer-9,Tuyen dung Civil Engineer tai BlueOcean Vietnam o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"civil,autocad,project",2026-03-19T08:28:05+07:00
Warehouse Operator,BlueOcean JSC,Da Nang,Labor,Full-time,16-22 trieu VND,5+ nam,16000000,22000000,https://jobs.local/topcv/warehouse-operator-10,Tuyen dung Warehouse Operator tai BlueOcean JSC o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"warehouse,inventory,forklift",2026-04-11T12:28:05+07:00
Logistics Coordinator,Skyline Solutions,Hai Phong,Supply Chain,Remote,16-20 trieu VND,2-4 nam,16000000,20000000,https://jobs.local/topcv/logistics-coordinator-11,Tuyen dung Logistics Coordinator tai Skyline Solutions o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"logistics,warehouse,supply-chain",2026-04-17T22:28:05+07:00
Business Development Manager,VietFuture Vietnam,Hai Phong,Sales,Hybrid,9-13 trieu VND,0-1 nam,9000000,13000000,https://jobs.local/topcv/business-development-manager-12,Tuyen dung Business Development Manager tai VietFuture Vietnam o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"business-development,b2b,pipeline",2026-03-27T21:28:05+07:00
Construction Supervisor,GreenTech JSC,Dong Nai,Construction,Hybrid,31-38 trieu VND,5+ nam,31000000,38000000,https://jobs.local/topcv/construction-supervisor-13,Tuyen dung Construction Supervisor tai GreenTech JSC o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"construction,site,safety",2026-03-26T04:28:05+07:00
Legal Counsel,NovaLink JSC,Ho Chi Minh City,Legal,Part-time,32-42 trieu VND,3-5 nam,32000000,42000000,https://jobs.local/topcv/legal-counsel-14,Tuyen dung Legal Counsel tai NovaLink JSC o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"legal,compliance,contract",2026-04-10T00:28:05+07:00
Marketing Specialist,Sunrise Solutions,Binh Duong,Marketing,Remote,18-21 trieu VND,3-5 nam,18000000,21000000,https://jobs.local/topcv/marketing-specialist-15,Tuyen dung Marketing Specialist tai Sunrise Solutions o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"marketing,campaign,digital",2026-04-27T07:28:05+07:00
Legal Counsel,AnPhat Solutions,Binh Duong,Legal,Full-time,15-21 trieu VND,1-3 nam,15000000,21000000,https://jobs.local/topcv/legal-counsel-16,Tuyen dung Legal Counsel tai AnPhat Solutions o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"legal,compliance,contract",2026-03-31T04:28:05+07:00
Auditor,VietFuture JSC,Da Nang,Finance,Remote,14-16 trieu VND,1-3 nam,14000000,16000000,https://jobs.local/topcv/auditor-17,Tuyen dung Auditor tai VietFuture JSC o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"audit,risk,reporting",2026-04-15T08:28:05+07:00
Construction Supervisor,GreenTech JSC,Can Tho,Construction,Remote,13-16 trieu VND,1-3 nam,13000000,16000000,https://jobs.local/topcv/construction-supervisor-18,Tuyen dung Construction Supervisor tai GreenTech JSC o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"construction,site,safety",2026-04-09T06:28:05+07:00
Customer Service Specialist,VietFuture JSC,Ho Chi Minh City,Operations,Full-time,11-20 trieu VND,1-3 nam,11000000,20000000,https://jobs.local/topcv/customer-service-specialist-19,Tuyen dung Customer Service Specialist tai VietFuture JSC o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"support,crm,service",2026-04-05T00:28:05+07:00
Operations Staff,BlueOcean Solutions,Bac Ninh,Operations,Part-time,13-17 trieu VND,1-3 nam,13000000,17000000,https://jobs.local/topcv/operations-staff-20,Tuyen dung Operations Staff tai BlueOcean Solutions o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"operations,process,kpi",2026-04-07T19:28:05+07:00
Marketing Specialist,MinhLong JSC,Dong Nai,Marketing,Shift,26-29 trieu VND,5+ nam,26000000,29000000,https://jobs.local/topcv/marketing-specialist-21,Tuyen dung Marketing Specialist tai MinhLong JSC o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"marketing,campaign,digital",2026-03-30T16:28:05+07:00
Logistics Coordinator,AnPhat Solutions,Hai Phong,Supply Chain,Remote,11-17 trieu VND,1-3 nam,11000000,17000000,https://jobs.local/topcv/logistics-coordinator-22,Tuyen dung Logistics Coordinator tai AnPhat Solutions o Hai Phong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"logistics,warehouse,supply-chain",2026-04-03T20:28:05+07:00
Construction Supervisor,MinhLong JSC,Dong Nai,Construction,Shift,20-23 trieu VND,3-5 nam,20000000,23000000,https://jobs.local/topcv/construction-supervisor-23,Tuyen dung Construction Supervisor tai MinhLong JSC o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"construction,site,safety",2026-04-06T10:28:05+07:00
Administrative Officer,NovaLink Vietnam,Can Tho,Administration,Remote,11-17 trieu VND,2-4 nam,11000000,17000000,https://jobs.local/topcv/administrative-officer-24,Tuyen dung Administrative Officer tai NovaLink Vietnam o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"admin,office,coordination",2026-03-14T22:28:05+07:00
Marketing Specialist,GlobalNext Vietnam,Can Tho,Marketing,Hybrid,30-35 trieu VND,5+ nam,30000000,35000000,https://jobs.local/topcv/marketing-specialist-25,Tuyen dung Marketing Specialist tai GlobalNext Vietnam o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"marketing,campaign,digital",2026-04-13T06:28:05+07:00
Administrative Officer,Skyline Vietnam,Dong Nai,Administration,Remote,13-17 trieu VND,3-5 nam,13000000,17000000,https://jobs.local/topcv/administrative-officer-26,Tuyen dung Administrative Officer tai Skyline Vietnam o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"admin,office,coordination",2026-04-01T07:28:05+07:00
Accountant,GlobalNext Vietnam,Da Nang,Finance,Full-time,10-12 trieu VND,0-1 nam,10000000,12000000,https://jobs.local/topcv/accountant-27,Tuyen dung Accountant tai GlobalNext Vietnam o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"accounting,excel,tax",2026-04-08T08:28:05+07:00
Customer Service Specialist,GlobalNext JSC,Da Nang,Operations,Shift,16-18 trieu VND,2-4 nam,16000000,18000000,https://jobs.local/topcv/customer-service-specialist-28,Tuyen dung Customer Service Specialist tai GlobalNext JSC o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"support,crm,service",2026-03-16T06:28:05+07:00
Construction Supervisor,GreenTech JSC,Dong Nai,Construction,Hybrid,9-12 trieu VND,0-1 nam,9000000,12000000,https://jobs.local/topcv/construction-supervisor-29,Tuyen dung Construction Supervisor tai GreenTech JSC o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"construction,site,safety",2026-04-19T04:28:05+07:00
Customer Service Specialist,MinhLong Group,Can Tho,Operations,Remote,20-26 trieu VND,3-5 nam,20000000,26000000,https://jobs.local/topcv/customer-service-specialist-30,Tuyen dung Customer Service Specialist tai MinhLong Group o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"support,crm,service",2026-04-15T04:28:05+07:00
Real Estate Consultant,GlobalNext JSC,Can Tho,Real Estate,Shift,22-24 trieu VND,3-5 nam,22000000,24000000,https://jobs.local/topcv/real-estate-consultant-31,Tuyen dung Real Estate Consultant tai GlobalNext JSC o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"real-estate,sales,consulting",2026-03-20T09:28:05+07:00
HR Executive,VietFuture JSC,Can Tho,Human Resources,Remote,8-12 trieu VND,0-1 nam,8000000,12000000,https://jobs.local/topcv/hr-executive-32,Tuyen dung HR Executive tai VietFuture JSC o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-03-14T08:28:05+07:00
PR Executive,GlobalNext Vietnam,Can Tho,Marketing,Shift,7-12 trieu VND,0-1 nam,7000000,12000000,https://jobs.local/topcv/pr-executive-33,Tuyen dung PR Executive tai GlobalNext Vietnam o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"pr,communications,media",2026-03-19T15:28:05+07:00
Warehouse Operator,MinhLong Group,Bac Ninh,Labor,Shift,13-16 trieu VND,3-5 nam,13000000,16000000,https://jobs.local/topcv/warehouse-operator-34,Tuyen dung Warehouse Operator tai MinhLong Group o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"warehouse,inventory,forklift",2026-04-16T08:28:05+07:00
Civil Engineer,GreenTech JSC,Bac Ninh,Construction,Full-time,14-17 trieu VND,1-3 nam,14000000,17000000,https://jobs.local/topcv/civil-engineer-35,Tuyen dung Civil Engineer tai GreenTech JSC o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"civil,autocad,project",2026-04-24T05:28:05+07:00
HR Executive,GreenTech Vietnam,Dong Nai,Human Resources,Part-time,18-21 trieu VND,3-5 nam,18000000,21000000,https://jobs.local/topcv/hr-executive-36,Tuyen dung HR Executive tai GreenTech Vietnam o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-03-30T03:28:05+07:00
Operations Staff,PrimeX Solutions,Da Nang,Operations,Shift,23-28 trieu VND,3-5 nam,23000000,28000000,https://jobs.local/topcv/operations-staff-37,Tuyen dung Operations Staff tai PrimeX Solutions o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"operations,process,kpi",2026-04-14T20:28:05+07:00
Sales Executive,AnPhat Vietnam,Dong Nai,Sales,Remote,15-19 trieu VND,1-3 nam,15000000,19000000,https://jobs.local/topcv/sales-executive-38,Tuyen dung Sales Executive tai AnPhat Vietnam o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"sales,negotiation,crm",2026-03-25T07:28:05+07:00
